hz1,X1,Y1,Z1,hz2,X2,Y2,Z2,hz3,X3,Y3,Z3,hz4,X4,Y4,Z4,hz5,X5,Y5,Z5,hz6,X6,Y6,Z6
,,,,94.25,0.109129748,0.008673578,0.089249248,,,,,94.25,0.650384151,0.251388904,0.356838628,,,,,94.25,0.650384151,0.251388904,0.356838628
,,,,94.5,0.109796156,0.007072036,0.088876337,,,,,94.5,0.603850198,0.219832634,0.377941466,,,,,94.5,0.603850198,0.219832634,0.377941466
,,,,94.75,0.111269321,0.005577436,0.088475138,,,,,94.75,0.645051936,0.244023975,0.33312546,,,,,94.75,0.645051936,0.244023975,0.33312546
,,,,95,0.113386227,0.003808904,0.087827814,,,,,95,0.53573964,0.180882998,0.394957865,,,,,95,0.53573964,0.180882998,0.394957865
,,,,95.25,0.114266653,0.002037411,0.087051974,,,,,95.25,0.626975096,0.203989334,0.358915307,,,,,95.25,0.626975096,0.203989334,0.358915307
,,,,95.5,0.114742888,0.001788165,0.086288299,,,,,95.5,0.578286474,0.170723117,0.399703874,,,,,95.5,0.578286474,0.170723117,0.399703874
,,,,95.75,0.114631855,0.001079389,0.085358937,,,,,95.75,0.5891282,0.140729207,0.405377562,,,,,95.75,0.5891282,0.140729207,0.405377562
,,,,96,0.115814952,0.000414361,0.084498475,,,,,96,0.59637728,0.135351149,0.392046333,,,,,96,0.59637728,0.135351149,0.392046333
,,,,96.25,0.118649733,0.000485288,0.083545548,,,,,96.25,0.520400501,0.075254733,0.441370814,,,,,96.25,0.520400501,0.075254733,0.441370814
,,,,96.5,0.119442234,5.42E-05,0.082708822,,,,,96.5,0.581012952,0.090646664,0.380878565,,,,,96.5,0.581012952,0.090646664,0.380878565
,,,,96.75,0.119460038,0.000187291,0.082363219,,,,,96.75,0.502008977,0.062138648,0.463087471,,,,,96.75,0.502008977,0.062138648,0.463087471
,,,,97,0.11846579,0,0.08257337,,,,,97,0.542469122,0.049357845,0.447736214,,,,,97,0.542469122,0.049357845,0.447736214
,,,,97.25,0.119008541,0.000486796,0.08278988,,,,,97.25,0.516787026,0.049580571,0.470146757,,,,,97.25,0.516787026,0.049580571,0.470146757
,,,,97.5,0.121410235,0.001156025,0.083242532,,,,,97.5,0.482347055,0.019162423,0.502741852,,,,,97.5,0.482347055,0.019162423,0.502741852
,,,,97.75,0.119983398,0.001946843,0.084566744,,,,,97.75,0.500724048,0.052161951,0.460156139,,,,,97.75,0.500724048,0.052161951,0.460156139
,,,,98,0.117410749,0.003204247,0.086296322,,,,,98,0.39095232,0.040123629,0.542244411,,,,,98,0.39095232,0.040123629,0.542244411
,,,,98.25,0.114254346,0.003603759,0.088141538,,,,,98.25,0.438568266,0.074998883,0.490474323,,,,,98.25,0.438568266,0.074998883,0.490474323
,,,,98.5,0.112406014,0.00352565,0.090322927,,,,,98.5,0.365068566,0.087011371,0.557951541,,,,,98.5,0.365068566,0.087011371,0.557951541
,,,,98.75,0.111023888,0.003396132,0.092622462,,,,,98.75,0.332725567,0.103633932,0.547194919,,,,,98.75,0.332725567,0.103633932,0.547194919
,,,,99,0.108132138,0.006927346,0.0949149,,,,,99,0.311435059,0.134454496,0.519802739,,,,,99,0.311435059,0.134454496,0.519802739
,,,,99.25,0.104114002,0.006104599,0.097383047,,,,,99.25,0.235836726,0.102990204,0.551107296,,,,,99.25,0.235836726,0.102990204,0.551107296
,,,,99.5,0.101721852,0.004888152,0.100918478,,,,,99.5,0.259172671,0.166782156,0.455557628,,,,,99.5,0.259172671,0.166782156,0.455557628
,,,,99.75,0.10157032,0.007344339,0.102359315,,,,,99.75,0.233392295,0.157685501,0.581159834,,,,,99.75,0.233392295,0.157685501,0.581159834
,,,,100,0.102139839,0.009078086,0.103863074,,,,,100,0.270650651,0.196458727,0.472226314,,,,,100,0.270650651,0.196458727,0.472226314
